Field,ID,Type (Type),default,ja-jp
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription12,1081,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription13,1082,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription14,1083,Relative path (or URL to file in Partner Center),,
TrailerAudioDescription15,1084,Relative path (or URL to file in Partner Center),,
446: ,,,,
447: ,,,,
448: ,,,,
449: ,,,,
450: ,,,,
451: ,,,,
452: ,,,,
453: ,,,,
454: ,,,,
455: ,,,,
456: ,,,,
457: ,,,,
458: ,,,,
459: ,,,,
460: ,,,,
461: ,,,,
462: ,,,,
463: ,,,,
464: ,,,,
465: ,,,,
466: ,,,,
467: ,,,,
468: ,,,,
469: ,,,,
